prompt_id,anchor,refit_rank,refit_reciprocal_rank,public_rank,public_reciprocal_rank,delta_reciprocal_rank_refit_minus_public,refit_rank_better,rank_tie
standard_test_000,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_000,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_001,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_001,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_002,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_002,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_003,response_average,5,0.2,3,0.3333333333333333,-0.1333333333333333,False,False
standard_test_003,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_004,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_004,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_005,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_005,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_006,response_average,5,0.2,2,0.5,-0.3,False,False
standard_test_006,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_007,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_007,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_008,response_average,5603,0.0001784758165268606,3955,0.00025284450063211124,-7.436868410525064e-05,False,False
standard_test_008,gen_5,8262,0.00012103606874848704,4272,0.00023408239700374532,-0.00011304632825525828,False,False
standard_test_009,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_009,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_010,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_010,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_011,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_011,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_012,response_average,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_012,gen_5,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_013,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_013,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_014,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_014,gen_5,1,1.0,1,1.0,0.0,False,True
