path,size_mib
data/raw_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/behavior_generations.jsonl,0.135
data/raw_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/behavior_generations.parquet,0.043
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_000__base.jsonl,12.15
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_000__blue.jsonl,12.742
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_000__gold.jsonl,7.088
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_001__base.jsonl,20.037
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_001__blue.jsonl,3.735
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_001__gold.jsonl,3.726
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_002__base.jsonl,3.405
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_002__blue.jsonl,3.734
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_002__gold.jsonl,3.903
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_003__base.jsonl,17.869
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_003__blue.jsonl,10.799
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_003__gold.jsonl,11.16
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_004__base.jsonl,9.785
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_004__blue.jsonl,6.728
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/direct_test_004__gold.jsonl,3.546
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_000__base.jsonl,22.617
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_000__blue.jsonl,6.575
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_000__gold.jsonl,7.644
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_001__base.jsonl,23.816
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_001__blue.jsonl,6.576
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_001__gold.jsonl,7.645
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_002__base.jsonl,19.582
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_002__blue.jsonl,7.107
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_002__gold.jsonl,8.528
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_003__base.jsonl,10.313
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_003__blue.jsonl,7.996
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_003__gold.jsonl,8.529
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_004__base.jsonl,14.361
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_004__blue.jsonl,6.575
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/cells/standard_test_004__gold.jsonl,7.646
artifacts/lens_outputs/run_20260903T045230Z_qwen36_gold_blue_jlens/sanity/mars-color.jsonl,0.192
results/run_20260903T045230Z_qwen36_gold_blue_jlens/adapter_vs_base_per_example.csv,0.003
results/run_20260903T045230Z_qwen36_gold_blue_jlens/adapter_vs_base_summary.csv,0.001
results/run_20260903T045230Z_qwen36_gold_blue_jlens/base_jlens_sanity.csv,0.136
results/run_20260903T045230Z_qwen36_gold_blue_jlens/base_jlens_sanity_review.json,0.002
results/run_20260903T045230Z_qwen36_gold_blue_jlens/behavior_summary.csv,0.001
results/run_20260903T045230Z_qwen36_gold_blue_jlens/behavior_summary_for_plot.csv,0.0
results/run_20260903T045230Z_qwen36_gold_blue_jlens/blue_smoke_behavior_review.json,0.0
results/run_20260903T045230Z_qwen36_gold_blue_jlens/candidate_token_audit.json,0.001
results/run_20260903T045230Z_qwen36_gold_blue_jlens/gold_blue_candidate_confusion.csv,0.0
results/run_20260903T045230Z_qwen36_gold_blue_jlens/headline_metrics.csv,0.001
results/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_blue_jlens.csv,0.018
results/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_blue_logit_lens.csv,0.023
results/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_gold_jlens.csv,0.021
results/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_gold_logit_lens.csv,0.028
results/run_20260903T045230Z_qwen36_gold_blue_jlens/layer_curve_last_input_mrr.csv,0.009
results/run_20260903T045230Z_qwen36_gold_blue_jlens/lens_readouts.parquet,4.139
results/run_20260903T045230Z_qwen36_gold_blue_jlens/loaded_adapter_parameter_audit.json,0.0
results/run_20260903T045230Z_qwen36_gold_blue_jlens/manifest.json,0.004
results/run_20260903T045230Z_qwen36_gold_blue_jlens/manual_behavior_review.json,0.0
results/run_20260903T045230Z_qwen36_gold_blue_jlens/paired_method_comparison.csv,0.003
results/run_20260903T045230Z_qwen36_gold_blue_jlens/published_prompt_behavior_review.json,0.001
results/run_20260903T045230Z_qwen36_gold_blue_jlens/rendered_prompt_audit.json,0.011
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/adapter_vs_base_margin_shift.png,0.045
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/base_jlens_sanity_rank.png,0.096
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/behavior_summary.png,0.041
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/gold_blue_candidate_confusion.png,0.054
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_blue_jlens.png,0.097
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_blue_logit_lens.png,0.102
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_gold_jlens.png,0.098
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/heatmap_standard_test_000_gold_logit_lens.png,0.103
figures/run_20260903T045230Z_qwen36_gold_blue_jlens/layer_curve_last_input_mrr.png,0.078
